Rank,City,Population (2016),Area
1,Calgary,"1,239,220",825.56 km2
2,Edmonton,"932,546",685.25 km2
3,Red Deer,"100,418",104.73 km2
4,Lethbridge,"92,729",122.09 km2
5,St. Albert,"65,589",48.45 km2
6,Medicine Hat,"63,260",112.04 km2
7,Grande Prairie,"63,166",132.73 km2
8,Airdrie,"61,581",84.57 km2
9,Spruce Grove,"34,066",32.2 km2
10,Leduc,"29,993",42.44 km2
