Rank,City,Population (2016),Area
1,Winnipeg,"705,244",464.33 km2
2,Brandon,"48,859",77.41 km2
3,Steinbach,"15,829",25.59 km2
4,Thompson,"13,678",20.79 km2
5,Portage la Prairie,"13,304",24.68 km2
6,Winkler,"12,660",17.00 km2
7,Selkirk,"10,278",24.86 km2
8,Morden,"8,668",16.37 km2
9,Dauphin,"8,369",12.61 km2
10,Flin Flon (Manitoba portion),"4,991",13.87 km2
